path,file_id,sequence_id,participant_id,phrase,letter
supplemental_landmarks/33432165.parquet,33432165,1536599740,117,one heck of a question,o
supplemental_landmarks/33432165.parquet,33432165,1536591298,2,tickets are very expensive,t
supplemental_landmarks/33432165.parquet,33432165,1536526188,2,we are subjects and must obey,w
supplemental_landmarks/33432165.parquet,33432165,1536504329,112,elephants are afraid of mice,e
supplemental_landmarks/33432165.parquet,33432165,1536389571,158,if you were not so stupid,i
supplemental_landmarks/33432165.parquet,33432165,1536365434,161,salesmen must make their monthly quota,s
supplemental_landmarks/33432165.parquet,33432165,1536236865,9,head shoulders knees and toes,h
supplemental_landmarks/33432165.parquet,33432165,1536229686,227,sign the withdrawal slip,s
supplemental_landmarks/33432165.parquet,33432165,1539594294,245,in sharp contrast to your words,i
supplemental_landmarks/33432165.parquet,33432165,1539564605,239,the chamber makes important decisions,t
supplemental_landmarks/33432165.parquet,33432165,1539563928,89,he underwent triple bypass surgery,h
supplemental_landmarks/33432165.parquet,33432165,1539543357,54,the minimum amount of time,t
supplemental_landmarks/33432165.parquet,33432165,1539526065,111,a picture is worth many words,a
supplemental_landmarks/33432165.parquet,33432165,1539472479,15,i do not care if you do that,i
supplemental_landmarks/33432165.parquet,33432165,1539421415,135,presidents drive expensive cars,p
supplemental_landmarks/33432165.parquet,33432165,1539420697,31,the fax machine is broken,t
supplemental_landmarks/33432165.parquet,33432165,1540126356,137,we must redouble our efforts,w
supplemental_landmarks/33432165.parquet,33432165,1540107751,54,i watched blazing saddles,i
supplemental_landmarks/33432165.parquet,33432165,1540075216,89,keep receipts for all your expenses,k
supplemental_landmarks/33432165.parquet,33432165,1540029804,141,a feeling of complete exasperation,a
